 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
 1170   0.9762    0.48372 -0.00772   577808.423     1229.630   547285.816    29292.977
 1180   0.9768    0.48574 -0.00798   577806.948     1231.472   547265.782    29309.694
 1190   0.9770    0.48760 -0.00843   577786.621     1224.390   547246.157    29316.073
 1200   0.9771    0.48937 -0.00866   577766.845     1220.499   547227.393    29318.953
 1210   0.9772    0.49096 -0.00907   577747.925     1215.485   547210.594    29321.845
 1220   0.9778    0.49265 -0.00968   577751.923     1215.095   547195.517    29341.311
 1230   0.9783    0.49410 -0.01022   577762.398     1225.771   547182.478    29354.149
 1240   0.9782    0.49529 -0.01080   577750.051     1226.989   547170.503    29352.559
 1250   0.9781    0.49644 -0.01155   577744.516     1236.338   547159.146    29349.031
 1260   0.9786    0.49771 -0.01236   577750.116     1238.185   547148.989    29362.942
 1270   0.9787    0.49869 -0.01322   577748.828     1241.267   547140.406    29367.155
 1280   0.9788    0.49950 -0.01423   577736.955     1234.067   547133.249    29369.639
 1290   0.9792    0.50026 -0.01546   577738.323     1228.786   547127.756    29381.782
 1300   0.9794    0.50073 -0.01670   577742.341     1230.756   547124.253    29387.332
 1310   0.9791    0.50083 -0.01799   577718.255     1217.624   547122.463    29378.168
 1320   0.9786    0.50071 -0.01939   577704.015     1217.538   547122.138    29364.339
 1330   0.9785    0.50050 -0.02082   577697.239     1212.005   547123.864    29361.370
 1340   0.9787    0.50018 -0.02228   577700.064     1207.126   547127.385    29365.553
 1350   0.9790    0.49976 -0.02369   577725.583     1217.271   547132.460    29375.852
 1360   0.9787    0.49896 -0.02504   577714.449     1208.581   547138.824    29367.043
 1370   0.9787    0.49819 -0.02638   577726.760     1213.849   547145.622    29367.289
 1380   0.9784    0.49713 -0.02765   577720.339     1209.121   547153.676    29357.541
 1390   0.9783    0.49602 -0.02876   577729.560     1210.767   547162.876    29355.917
 1400   0.9780    0.49462 -0.02984   577736.155     1218.058   547173.439    29344.658
 1410   0.9778    0.49316 -0.03082   577735.206     1209.437   547185.252    29340.517
 1420   0.9775    0.49146 -0.03178   577736.477     1207.803   547198.240    29330.433
 1430   0.9778    0.48991 -0.03261   577763.811     1211.689   547211.933    29340.189
 1440   0.9780    0.48812 -0.03342   577782.676     1209.431   547226.893    29346.352
 1450   0.9780    0.48606 -0.03422   577790.587     1202.841   547243.009    29344.737
 1460   0.9772    0.48351 -0.03469   577788.753     1205.924   547260.418    29322.411
 1470   0.9772    0.48104 -0.03507   577815.358     1214.941   547278.899    29321.518
 1480   0.9773    0.47847 -0.03539   577841.104     1217.060   547298.072    29325.971
 1490   0.9773    0.47573 -0.03560   577859.756     1217.741   547317.545    29324.471
 1500   0.9780    0.47313 -0.03579   577911.724     1227.476   547338.050    29346.198
 1510   0.9780    0.47007 -0.03600   577931.733     1225.043   547359.472    29347.218
 1520   0.9783    0.46703 -0.03609   577963.858     1228.955   547381.135    29353.768
 1530   0.9790    0.46416 -0.03607   577997.435     1219.443   547402.717    29375.276
 1540   0.9789    0.46092 -0.03602   578015.440     1218.954   547424.661    29371.826
 1550   0.9791    0.45783 -0.03606   578044.672     1219.241   547446.611    29378.821
 1560   0.9791    0.45460 -0.03608   578071.691     1224.396   547468.882    29378.413
 1570   0.9791    0.45139 -0.03604   578092.096     1223.046   547490.914    29378.136
 1580   0.9791    0.44822 -0.03603   578123.875     1232.382   547512.830    29378.664
 1590   0.9791    0.44496 -0.03606   578142.425     1229.122   547535.634    29377.670
 1600   0.9788    0.44166 -0.03602   578159.082     1232.402   547558.277    29368.404
 1610   0.9788    0.43867 -0.03594   578185.390     1235.528   547580.092    29369.770
 1620   0.9788    0.43587 -0.03596   578211.334     1239.115   547601.158    29371.061
 1630   0.9788    0.43325 -0.03602   578229.142     1236.240   547621.568    29371.335
 1640   0.9787    0.43074 -0.03599   578237.147     1228.370   547641.270    29367.507
 1650   0.9791    0.42865 -0.03601   578279.631     1239.765   547660.041    29379.825
 1660   0.9791    0.42663 -0.03605   578292.949     1237.070   547677.641    29378.238
 1670   0.9789    0.42489 -0.03610   578291.727     1226.133   547693.549    29372.046
 1680   0.9788    0.42346 -0.03603   578304.672     1228.369   547707.914    29368.389
 1690   0.9781    0.42209 -0.03583   578305.240     1236.235   547721.035    29347.970
 1700   0.9779    0.42114 -0.03557   578307.830     1232.689   547733.299    29341.843
 1710   0.9776    0.42036 -0.03523   578315.723     1238.137   547744.878    29332.709
 1720   0.9767    0.41964 -0.03491   578300.777     1237.500   547755.480    29307.796
 1730   0.9763    0.41927 -0.03463   578296.742     1236.563   547765.647    29294.532
 1740   0.9761    0.41924 -0.03401   578297.692     1233.597   547775.031    29289.065
 1750   0.9758    0.41935 -0.03334   578290.729     1228.514   547783.642    29278.573
 1760   0.9753    0.41962 -0.03241   578283.392     1227.139   547791.426    29264.826
 1770   0.9748    0.42003 -0.03141   578262.233     1215.440   547798.402    29248.391
 1780   0.9742    0.42070 -0.03023   578250.483     1213.918   547804.251    29232.314
 1790   0.9738    0.42154 -0.02884   578247.621     1219.037   547809.760    29218.824
 1800   0.9729    0.42243 -0.02731   578221.993     1214.383   547814.038    29193.572
 1810   0.9724    0.42353 -0.02564   578199.979     1205.260   547817.691    29177.028
 1820   0.9719    0.42482 -0.02384   578181.482     1198.520   547820.021    29162.941
 1830   0.9714    0.42623 -0.02199   578170.265     1200.835   547821.275    29148.155
 1840   0.9712    0.42778 -0.02003   578167.923     1202.504   547822.102    29143.316
 1850   0.9706    0.42927 -0.01794   578151.227     1205.800   547821.379    29124.048
 1860   0.9702    0.43086 -0.01576   578144.077     1211.120   547820.051    29112.906
 1870   0.9695    0.43225 -0.01342   578121.002     1210.746   547818.372    29091.883
 1880   0.9694    0.43380 -0.01114   578117.048     1211.608   547816.126    29089.314
 1890   0.9688    0.43503 -0.00877   578083.090     1200.002   547813.269    29069.819
 1900   0.9688    0.43641 -0.00638   578082.573     1203.662   547809.996    29068.915
 1910   0.9686    0.43773 -0.00373   578075.150     1206.570   547805.228    29063.352
 1920   0.9686    0.43903 -0.00118   578074.141     1209.176   547799.936    29065.029
 1930   0.9686    0.44021  0.00140   578074.797     1216.522   547793.791    29064.484
 1940   0.9688    0.44128  0.00393   578063.910     1205.885   547787.328    29070.697
 1950   0.9690    0.44227  0.00644   578056.252     1202.390   547779.510    29074.352
